Nr.,店名,中文店名,英文店名,类别,连锁,地址,城区
124,牛稼莊/BeefHouse,牛稼莊,Beef House,小吃,否,"Kottbusser Damm 94, 10967 Berlin", Neukölln
125,HanWest(Neukölln),HanWest (Neukölln),HanWest (Neukölln),小吃,是,"SelchowerStr. 20, 12049 Berlin", Neukölln
126,陈记牛肉面馆/Chen'sNoodleHouse(Neukölln 1),陈记牛肉面馆 (Neukölln 1),Chen's Noodle House (Neukölln 1),面馆,是,"Karl-Marx-str. 78, 12043 Berlin", Neukölln
127,陈记牛肉面馆/Chen'sNoodleHouse(Neukölln 2),陈记牛肉面馆 (Neukölln 2),Chen's Noodle House (Neukölln 2),面馆,是,"Karl-Marx-str. 101, 12043 Berlin", Neukölln
128,南吉/Gaststätte Südpol,南吉,Gaststätte Südpol,烧烤,否,"Dieselstr. 20, 12057 Berlin", Neukölln
130,五湖四海/Allseasons,五湖四海,All seasons,饭店,否,"Am Juliusturm 53, 13599 Berlin", Spandau
131,长青酒楼/Evergreen,长青酒楼,Evergreen,饭店,否,"Magistratsweg 31, 13593 Berlin", Spandau
132,澳门酒楼/Macao,澳门酒楼,Macao,饭店,否,"BreiteStr. 37, 13597 Berlin", Spandau
133,万花酒楼/Man-Far,万花酒楼,Man-Far,饭店,否,"Brunsbutteler Damm 260, 13581 Berlin", Spandau
134,King-Men,King-Men,King-Men,饭店,否,"Falkenseer Chaussee 217, 13583 Berlin", Spandau
135,Regent,Regent,Regent,饭店,否,"Imchenallee 44, 14089 Berlin", Spandau
136,Peking Perle,Peking Perle,Peking Perle,饭店,否,"Falkenseer Damm 17, 13585 Berlin", Spandau
137,UUU,UUU,UUU,饭店,否,"Sprengelstr. 15, 13353 Berlin", Wedding
138,蕾小厨湘菜馆/Lei'sKuche,蕾小厨湘菜馆,Lei's Kuche,饭店,否,"Seestr. 41, 13353 Berlin", Wedding
139,椒点私厨/SzeChuanKuche,椒点私厨,SzeChuan Kuche,饭店,否,"Seestr. 101, 13353 Berlin", Wedding
140,美食家/AsiaDeli,美食家,Asia Deli,小吃,否,"Seestr. 41, 13353 Berlin", Wedding
141,Wen Cheng Burgsdorfer,Wen Cheng Burgsdorfer,Wen Cheng Burgsdorfer,小吃,是,"Burgsdorfstr. 7, 13353 Berlin", Wedding
142,陈香贵/Mr.NoodleChen(Wedding),陈香贵,Mr. Noodle Chen(Wedding),面馆,是,"Willdenowstr. 12, 13353 Berlin", Wedding
143,吃吃看/Chichikan,吃吃看,Chichikan,饭店,否,"Goltzstr. 52, 10781 Berlin", Schöneberg
144,文记/Mankee,文记,Mankee,饭店,否,"Grunewaldstr. 60, 10825 Berlin", Schöneberg
145,Bingery,Bingery,Bingery,小吃,否,"Akazienstr. 27, 10823 Berlin", Schöneberg
146,永记/Goji,永记,Goji,小吃,否,"Motzstr. 58, 10777 Berlin", Schöneberg
